Timestamp,Grade,Type of problem,Types of holds,Number of attempts,Is it a send?,"If it is a send, what is the quality?","If it is a fall, what is the cause? (Or how should you do better in the next try?)",Other notes,Have you been breathing?,Have you been keeping your body as close to the wall as possible?,Have you been shifting your weight dynamically as you reach for the next holds?,Have you grab the hold perpendicularly to its orientation?,Have you been using 'silent feet'?,Have you been keeping awareness of your body position?
5/10/2022 19:54:52,V4,Slab,Crimp,2,No,,Did not commit need more dynamic,,No,No,No,,No,No
5/10/2022 19:58:42,V4,Slab,Crimp,3,Yes,3,,,No,No,No,,Maybe,No
5/10/2022 20:06:39,V5,Slab,"Edge, Sloper",1,No,,Beta to the next move,,No,No,No,,No,No
5/10/2022 20:08:13,V5,Slab,"Edge, Sloper",2,No,,"Beta to the next move, Lack familiarity with the move",,No,No,No,,No,No
5/10/2022 20:11:40,V5,Slab,"Edge, Sloper",3,No,,"Beta to the next move, Lack familiarity with the move",Use left foot,No,No,Yes,,No,No
5/10/2022 20:13:00,V5,Slab,"Edge, Sloper",4,No,,"Lack familiarity with the move, Footwork issue",,No,No,Maybe,,Maybe,No
5/10/2022 20:16:00,V5,Slab,"Edge, Sloper",4,No,,Footwork issue,Both feet up,Maybe,No,Yes,,No,Maybe
5/10/2022 20:19:26,V5,Slab,"Edge, Sloper",5,No,,Beta to the next move,,No,No,Yes,,Maybe,No
5/10/2022 20:23:47,V5,Slab,"Edge, Sloper",6,Yes,6,,,No,No,Yes,,Maybe,No
5/10/2022 20:29:36,V4,Slab,"Jug, Sloper",1,No,,Cannot grab on to the hold,,No,No,No,,No,No
5/10/2022 20:31:17,V4,Slab,Sloper,2,No,,Lack familiarity with the move,,No,Maybe,Maybe,,No,No
5/10/2022 20:33:18,V4,Slab,Sloper,3,No,,"Suboptimal sequence, Footwork issue",,No,Maybe,Maybe,,No,No
5/10/2022 20:35:20,V4,Slab,"Jug, Sloper",4,No,,"Suboptimal sequence, Forgot about beta",,No,Maybe,No,,No,No
5/10/2022 20:38:27,V4,Slab,"Jug, Sloper",5,No,,"Lack familiarity with the move, Footwork issue",,No,Maybe,Yes,,No,No
5/10/2022 20:40:11,V4,Slab,Sloper,6,No,,Cannot grab on to the hold,,No,Maybe,Yes,,No,No
5/10/2022 20:42:09,V4,Slab,"Jug, Sloper",6,No,,Cannot grab on to the hold,,No,Maybe,Yes,,No,No
5/10/2022 20:46:29,V6,Slab,"Edge, Crimp",2,No,,Beta to the next move,,No,Yes,No,,No,Maybe
5/10/2022 20:50:51,V6,Slab,"Edge, Crimp",3,No,,Beta to the next move,,No,No,No,,Maybe,No
5/10/2022 20:54:27,V6,Slab,"Edge, Crimp",4,No,,"Beta to the next move, Suboptimal sequence",,No,Maybe,Maybe,,No,No
5/10/2022 20:59:34,V6,Slab,"Edge, Crimp",5,No,,Beta to the next move,,No,Yes,No,,No,No
5/10/2022 21:01:13,V6,Slab,"Edge, Crimp",6,No,,Beta to the next move,,No,No,No,,No,No
5/10/2022 21:04:06,V6,Roof,Pinch,1,No,,"Wrong body position, Too tired",,No,No,Maybe,,No,No
5/10/2022 21:12:20,V6,Roof,"Crimp, Pinch",3,No,,Beta to the next move,,Maybe,Maybe,Maybe,,No,No
5/12/2022 19:07:19,V4,Roof,"Jug, Sloper",1,No,,"Beta to the next move, Suboptimal sequence",,No,No,No,,Maybe,Maybe
5/12/2022 19:11:06,V4,Roof,"Jug, Sloper",2,Yes,3,,,Maybe,No,Yes,,No,No
5/12/2022 19:20:11,V5,Roof,"Edge, Pinch",1,Yes,6,,,No,No,Yes,,Maybe,No
5/12/2022 19:26:06,V5,Roof,"Jug, Sloper",1,No,,"Lack familiarity with the move, Cannot grab on to the hold",,No,No,Maybe,,Maybe,No
5/12/2022 19:28:19,V5,Arête,"Jug, Sloper",2,Yes,4,,,No,No,Yes,,Maybe,No
5/12/2022 19:37:18,V7,Roof,"Jug, Crimp, Undercling",2,No,,Beta to the next move,,No,No,No,,No,No
5/12/2022 19:40:24,V7,Roof,"Jug, Crimp",3,No,,Beta to the next move,,No,No,Yes,,No,No
5/12/2022 19:42:31,V7,Roof,"Jug, Crimp, Undercling",4,No,,Beta to the next move,,No,No,Maybe,,Maybe,No
5/12/2022 19:47:04,V6,Roof,"Jug, Crimp",1,No,,"Beta to the next move, Lack familiarity with the move",,No,No,No,,Maybe,No
5/12/2022 19:48:17,V6,Roof,"Jug, Crimp",2,No,,Beta to the next move,,No,No,Maybe,,No,No
5/12/2022 19:50:49,V6,Roof,"Jug, Crimp",3,No,,"Beta to the next move, Lack familiarity with the move",,No,No,Maybe,,No,No
5/12/2022 19:53:34,V6,Roof,"Jug, Crimp",5,No,,Beta to the next move,,No,Maybe,Yes,,No,No
5/12/2022 19:56:59,V6,Roof,"Jug, Crimp",6,Yes,5,,,No,Maybe,Yes,,No,Maybe
5/12/2022 20:05:15,V7,Roof,"Pinch, Sloper",1,No,,Beta to the next move,,No,No,No,,Maybe,No
5/12/2022 20:09:39,V7,Roof,"Pinch, Sloper",2,No,,Beta to the next move,,No,No,No,,Maybe,No
5/12/2022 20:15:34,V7,Roof,Sloper,3,No,,Beta to the next move,,No,No,No,,No,No
5/12/2022 20:18:02,V7,Arête,"Pinch, Sloper",4,No,,"Beta to the next move, Lack body tension ",,No,No,Maybe,,No,No
5/12/2022 20:21:04,V7,Arête,"Pinch, Sloper",5,No,,"Beta to the next move, Cannot grab on to the hold",,No,No,Maybe,,Maybe,No
5/12/2022 20:25:47,V7,Arête,"Pinch, Sloper",6,No,,"Beta to the next move, Too tired",,Maybe,No,Yes,,No,No
5/17/2022 19:42:54,V4,Slab,"Crimp, Pinch",1,Yes,6,,,No,No,Maybe,,Yes,Maybe
5/17/2022 19:52:12,V6,Roof,"Crimp, Pinch",1,No,,Beta to the next move,,No,Maybe,Maybe,,No,No
5/17/2022 19:52:42,V6,Roof,"Crimp, Pinch",2,No,,Wrong body position,,No,No,Yes,,No,No
5/17/2022 19:54:27,V6,Roof,"Crimp, Pinch",3,No,,"Beta to the next move, Too tired",,No,No,No,,No,No
5/17/2022 19:57:40,V6,Roof,"Crimp, Pinch",4,No,,"Beta to the next move, Suboptimal sequence",,No,No,Maybe,,No,No
5/17/2022 20:02:38,V6,Roof,"Crimp, Pinch",5,No,,"Cannot grab on to the hold, Need to control the body swing",Sit on left foot try to secure right hand before moving left,No,Maybe,Yes,,No,No
5/17/2022 20:05:24,V6,Roof,"Crimp, Pinch",6,No,,"Too tired, Didn’t commiy",,Maybe,No,Yes,,No,No
5/17/2022 20:15:59,V6,Roof,"Crimp, Pinch",7,No,,Try out second half,,Maybe,Yes,Yes,,No,Yes
5/17/2022 20:16:28,V6,Roof,"Crimp, Pinch",8,Yes,6,,,Yes,Yes,Yes,,No,Maybe
5/17/2022 20:22:52,V5,Roof,"Crimp, Pinch, Sloper",1,No,,Beta to the next move,,Maybe,No,No,,No,Maybe
5/17/2022 20:24:30,V5,Roof,"Crimp, Pinch, Sloper",2,No,,"Beta to the next move, Too nervous",,No,No,Maybe,,No,No
5/17/2022 20:26:42,V5,Roof,"Crimp, Pinch, Sloper",3,No,,"Beta to the next move, Suboptimal sequence",,No,No,Yes,,No,No
5/17/2022 20:29:55,V4,Roof,"Crimp, Pinch, Sloper",1,Yes,7,,,Maybe,No,Maybe,,No,No
5/17/2022 20:42:29,V5,Roof,"Jug, Pinch",1,No,,Footwork issue,,No,No,No,,No,No
5/17/2022 20:46:36,V5,Roof,"Jug, Pinch",2,No,,"Beta to the next move, Footwork issue, Drop knee and dab",,No,No,No,,No,No
5/17/2022 20:51:59,V5,Roof,"Jug, Pinch, Sloper",3,No,,"Suboptimal sequence, Footwork issue, Too tired",,No,No,No,,No,No
5/17/2022 21:29:58,V5,Roof,"Crimp, Pinch, Sloper",4,Yes,4,,,No,No,Maybe,,Maybe,Maybe
5/19/2022 19:02:06,V4,Vertical,"Jug, Crimp",1,Yes,3,,,No,No,Yes,,No,No
5/19/2022 19:02:45,V5,Vertical,"Edge, Crimp, Undercling",1,No,,"Beta to the next move, Wrong body position",,No,No,No,,No,No
5/19/2022 19:05:31,V5,Vertical,"Edge, Sloper, Undercling",2,No,,Beta to the next move,,No,No,No,,No,Maybe
5/19/2022 19:09:26,V5,Vertical,"Edge, Crimp, Pinch, Sloper",3,No,,Beta to the next move,,No,No,No,,No,Maybe
5/19/2022 19:13:37,V5,Vertical,"Edge, Crimp, Pinch, Sloper",4,No,,Beta to the next move,,No,No,No,,No,No
5/19/2022 19:17:20,V5,Vertical,"Edge, Crimp, Pinch, Sloper",5,No,,Beta to the next move,,No,No,No,,No,No
5/19/2022 19:20:45,V5,Vertical,"Edge, Crimp, Pinch, Sloper",6,No,,Beta to the next move,,No,No,Maybe,,No,No
5/19/2022 19:26:32,V5,Vertical,"Edge, Crimp, Pinch, Sloper",6,No,,Beta to the next move,,No,No,No,,No,No
5/19/2022 19:29:43,V5,Vertical,"Edge, Crimp, Pinch, Sloper",7,No,,Beta to the next move,,No,No,No,,No,No
5/19/2022 19:33:49,V5,Slab,Crimp,1,No,,"Beta to the next move, Suboptimal sequence",,No,No,No,,No,Maybe
5/19/2022 19:38:06,V5,Vertical,Crimp,2,Yes,6,,,Maybe,Maybe,Maybe,,Maybe,Maybe
5/19/2022 19:41:52,V6,Vertical,"Pinch, Sloper",1,No,,Beta to the next move,,No,No,No,,No,No
5/19/2022 19:44:32,V6,Vertical,Sloper,2,No,,"Beta to the next move, Footwork issue",,No,No,No,,Maybe,Maybe
5/19/2022 19:48:05,V6,Vertical,Sloper,3,No,,"Beta to the next move, Footwork issue",,No,No,Maybe,,No,No
5/19/2022 19:51:13,V6,Vertical,Sloper,4,No,,Beta to the next move,,No,No,Maybe,,Maybe,No
5/19/2022 19:54:32,V6,Vertical,Sloper,5,No,,"Beta to the next move, Footwork issue",,No,No,Yes,,Maybe,No
5/19/2022 20:00:47,V6,Vertical,Sloper,5,No,,Dry fire,,No,No,Maybe,,No,No
5/19/2022 20:03:37,V6,Vertical,Sloper,6,No,,"Suboptimal sequence, Footwork issue",,No,No,Yes,,No,No
5/19/2022 20:06:50,V6,Vertical,Sloper,7,No,,"Beta to the next move, Cannot grab on to the hold, Too tired",,No,No,Yes,,No,No
5/19/2022 20:11:15,V5,Vertical,"Edge, Pinch, Sloper",8,No,,Beta to the next move,,No,No,Maybe,,No,No
5/19/2022 20:17:42,V6,Vertical,"Crimp, Sloper",1,No,,"Lack familiarity with the move, Too tired",,No,Maybe,No,,Maybe,Maybe
5/19/2022 20:26:26,V6,Vertical,"Crimp, Sloper",3,Yes,6,,,No,No,Maybe,,Maybe,Maybe
5/19/2022 20:31:20,V7,Vertical,"Edge, Crimp, Pinch",1,No,,"Suboptimal sequence, Cannot grab on to the hold",,No,No,No,,No,Maybe
5/19/2022 20:35:32,V7,Vertical,"Edge, Pinch",2,No,,"Beta to the next move, Wrong body position, Need to be more static",,No,No,Maybe,,No,No
5/19/2022 20:42:38,V7,Vertical,"Pinch, Sloper",3,No,,"Beta to the next move, Footwork issue",,No,No,No,,No,No
5/19/2022 20:45:20,V7,Vertical,"Pinch, Sloper",5,No,,Beta to the next move,,No,No,Maybe,,No,No
5/19/2022 20:46:51,V7,Vertical,"Edge, Crimp, Pinch",6,No,,Too tired,,No,No,No,,No,No
5/24/2022 18:55:32,V4,Vertical,"Edge, Sloper",2,No,,"Beta to the next move, Wrong body position",,No,No,No,,No,No
5/24/2022 19:02:40,V4,Vertical,Sloper,3,Yes,6,,,No,Yes,No,,No,Maybe
5/24/2022 19:05:22,V5,Vertical,Crimp,1,No,,Beta to the next move,,No,Maybe,No,,No,No
5/24/2022 19:06:27,V5,Vertical,"Crimp, Sloper",2,No,,Cannot grab on to the hold,,No,Maybe,No,,No,No
5/24/2022 19:10:02,V5,Vertical,"Crimp, Sloper",3,No,,Cannot grab on to the hold,,No,No,No,,No,No
5/24/2022 19:12:47,V5,Vertical,"Crimp, Sloper",3,No,,"Beta to the next move, Wrong body position, Footwork issue",,No,No,No,,No,No
5/24/2022 19:15:57,V5,Vertical,"Crimp, Sloper",4,No,,Wrong body position,Try match foot first,No,No,No,,No,No
5/24/2022 19:20:24,V5,Vertical,"Crimp, Sloper",5,No,,"Cannot grab on to the hold, Not committed ",,No,Yes,Maybe,,Maybe,Maybe
5/24/2022 19:22:35,V5,Vertical,"Crimp, Sloper",7,No,,"Beta to the next move, Suboptimal sequence",,No,No,Yes,,No,No
5/24/2022 19:27:37,V5,Vertical,"Crimp, Sloper",8,No,,Finished the second half,,No,Maybe,Yes,,No,Maybe
5/24/2022 19:33:33,V5,Vertical,"Crimp, Sloper",9,Yes,6,,,No,Yes,Yes,,No,Maybe
5/24/2022 19:40:29,V5,Roof,"Jug, Crimp, Pinch",1,No,,"Beta to the next move, Suboptimal sequence",,No,No,Maybe,,No,No
5/24/2022 19:43:07,V5,Roof,"Jug, Crimp, Pinch",2,No,,"Suboptimal sequence, Cannot grab on to the hold",,No,Maybe,Yes,,Maybe,No
5/24/2022 19:46:26,V5,Roof,Pinch,3,No,,"Beta to the next move, Suboptimal sequence, Cannot grab on to the hold",,No,No,Maybe,,No,No
5/24/2022 19:59:28,V6,Slab,"Sloper, Undercling",2,No,,Beta to the next move,,No,No,No,,No,Maybe
5/24/2022 20:03:02,V6,Slab,Sloper,3,No,,Beta to the next move,,No,No,No,,No,No
5/24/2022 20:06:11,V6,Slab,Crimp,1,No,,"Beta to the next move, Footwork issue",,No,No,No,,No,No
5/24/2022 20:09:55,V6,Slab,Crimp,3,No,,Beta to the next move,,No,No,No,,No,Maybe
5/24/2022 20:15:57,V5,Roof,"Jug, Crimp, Pinch",5,Yes,7,,,No,Maybe,Yes,,Yes,Maybe
5/24/2022 20:16:30,V6,Slab,"Crimp, Pinch",3,Yes,7,,,No,No,No,,No,Maybe
5/24/2022 20:22:20,V4,Slab,Sloper,1,No,,Cannot grab on to the hold,,No,No,No,,No,No
5/24/2022 20:27:02,V4,Slab,Sloper,2,Yes,7,,,No,No,Yes,,Maybe,No
5/24/2022 20:33:46,V6,Slab,"Sloper, Undercling",4,No,,Beta to the next move,,No,No,No,,No,No
5/24/2022 20:38:47,V6,Slab,"Pinch, Side-pull",1,No,,Beta to the next move,,No,No,Maybe,,No,Maybe
5/24/2022 20:45:53,V5,Vertical,"Crimp, Sloper",3,Yes,6,,,No,Maybe,Maybe,,Maybe,No
5/26/2022 19:44:01,V5,Arête,Sloper,2,No,,"Lack familiarity with the move, Footwork issue",,Maybe,No,Maybe,,Maybe,No
5/26/2022 19:44:24,V4,Roof,Jug,1,Yes,5,,,Yes,Maybe,Yes,,No,No
5/26/2022 19:46:55,V5,Arête,Sloper,3,Yes,6,,,Maybe,No,Yes,,Yes,Yes
5/26/2022 19:50:13,V5,Vertical,"Crimp, Sloper, Pocket",1,No,,"Beta to the next move, Lack familiarity with the move",,No,No,Yes,,No,No
5/26/2022 19:56:03,V5,Vertical,"Crimp, Sloper, Pocket",4,No,,"Lack familiarity with the move, Wrong body position",,No,No,Yes,,No,No
5/26/2022 19:58:07,V5,Vertical,"Crimp, Sloper, Pocket",5,No,,Beta to the next move,,Maybe,No,Yes,,No,No
5/26/2022 19:59:46,V5,Vertical,"Crimp, Sloper, Pocket",6,No,,"Beta to the next move, Suboptimal sequence",,Maybe,No,Yes,,No,Maybe
5/26/2022 20:02:30,V5,Vertical,"Crimp, Sloper, Pocket",7,No,,"Beta to the next move, Lack familiarity with the move",,Maybe,No,Yes,,No,No
5/26/2022 20:05:36,V5,Vertical,"Crimp, Sloper, Pocket",10,No,,Beta to the next move,,Maybe,No,Yes,,No,No
5/26/2022 20:08:38,V5,Vertical,"Edge, Crimp, Sloper",1,No,,Beta to the next move,,No,No,Yes,,No,No
5/26/2022 20:13:07,V5,Vertical,"Edge, Crimp, Sloper",2,No,,"Beta to the next move, Suboptimal sequence",,Maybe,No,Yes,,No,No
5/26/2022 20:17:49,V5,Vertical,"Edge, Sloper",3,Yes,6,,,No,No,Yes,,No,Yes
5/26/2022 20:24:55,V5,Vertical,"Pinch, Sloper",1,No,,Beta to the next move,,No,No,Yes,,No,No
5/26/2022 20:26:08,V5,Vertical,"Pinch, Sloper",2,No,,Beta to the next move,Double dyno?,No,No,Yes,,No,No
5/26/2022 20:27:10,V5,Vertical,"Pinch, Sloper",3,No,,Beta to the next move,,No,No,Yes,,No,No
5/26/2022 20:28:34,V5,Vertical,"Pinch, Sloper",3,No,,Beta to the next move,,No,No,Yes,,No,No
5/26/2022 20:30:22,V5,Vertical,"Pinch, Sloper",4,No,,"Beta to the next move, Lack control",,No,No,Yes,,No,No
5/26/2022 20:31:38,V5,Vertical,"Pinch, Sloper",5,No,,"Beta to the next move, Cannot grab on to the hold",,No,No,Yes,,No,No
5/26/2022 20:35:08,V5,Vertical,"Pinch, Sloper",7,No,,"Beta to the next move, Wrong body position",,No,No,Yes,,No,No
5/26/2022 20:38:55,V5,Vertical,"Pinch, Sloper",8,No,,Beta to the next move,,No,No,Yes,,No,No
5/26/2022 20:44:16,V5,Vertical,Sloper,9,No,,Beta to the next move,,No,No,Yes,,No,No
5/26/2022 20:47:24,V5,Vertical,"Pinch, Sloper",11,No,,Beta to the next move,,No,No,No,,No,No
5/26/2022 20:52:27,V5,Vertical,"Pinch, Sloper",12,No,,Beta to the next move,,No,No,Yes,,No,Maybe
5/26/2022 20:57:32,V5,Vertical,"Pinch, Sloper",13,Yes,6,,,No,No,Yes,,No,Yes
5/26/2022 21:05:32,V6,Vertical,"Pinch, Sloper, Side-pull",1,No,,Beta to the next move,,No,No,No,,No,No
5/26/2022 21:07:16,V6,Vertical,"Pinch, Sloper, Side-pull",2,No,,Beta to the next move,,No,No,No,,No,No
5/26/2022 21:11:16,V6,Vertical,"Pinch, Sloper, Side-pull",3,No,,Beta to the next move,,No,No,No,,No,No
5/26/2022 21:12:58,V6,Vertical,"Pinch, Sloper, Side-pull",4,No,,Beta to the next move,,No,No,No,,No,No
5/31/2022 20:05:25,V4,Roof,"Jug, Sloper",1,Yes,4,,,No,No,Maybe,,No,Maybe
5/31/2022 20:10:52,V6,Roof,"Edge, Crimp",2,No,,Beta to the next move,,No,No,No,,No,No
5/31/2022 20:13:46,V6,Roof,"Jug, Edge, Crimp",4,No,,Beta to the next move,,No,No,No,,No,No
5/31/2022 20:16:23,V6,Roof,"Jug, Edge, Crimp",5,No,,Beta to the next move,,No,No,No,,No,No
5/31/2022 20:18:38,V6,Roof,"Jug, Edge, Crimp",5,No,,"Beta to the next move, Suboptimal sequence",,No,No,Maybe,,No,No
5/31/2022 20:22:48,V6,Roof,"Jug, Edge, Crimp",7,No,,"Beta to the next move, Lack familiarity with the move",,No,No,Yes,,No,Maybe
5/31/2022 20:26:48,V6,Roof,"Jug, Edge, Crimp",9,No,,"Beta to the next move, Lack familiarity with the move",,No,No,Maybe,,No,No
5/31/2022 20:28:47,V6,Roof,"Jug, Crimp, Pinch",10,No,,"Beta to the next move, Cannot grab on to the hold",,No,Yes,Yes,,No,No
5/31/2022 20:30:57,V6,Roof,"Crimp, Pinch",11,No,,"Beta to the next move, Lack familiarity with the move",,No,No,No,,No,No
5/31/2022 20:33:01,V6,Roof,"Crimp, Pinch",12,No,,"Too tired, Dry fire",,No,No,Maybe,,No,No
5/31/2022 20:37:07,V6,Roof,"Edge, Crimp",2,No,,Beta to the next move,,No,Yes,No,,Yes,Maybe
5/31/2022 20:40:22,V6,Roof,Crimp,3,No,,Beta to the next move,,No,No,No,,No,No
5/31/2022 20:44:04,V6,Roof,"Edge, Crimp",3,No,,Beta to the next move,,No,No,Maybe,,Maybe,Maybe
5/31/2022 20:48:04,V6,Roof,"Edge, Crimp",4,No,,"Suboptimal sequence, Cannot grab on to the hold",,No,No,Yes,,No,Maybe
5/31/2022 20:51:18,V6,Roof,"Edge, Crimp",5,No,,"Beta to the next move, Suboptimal sequence",,No,No,No,,No,No
5/31/2022 20:57:14,V6,Roof,"Edge, Crimp",5,No,,"Beta to the next move, Lack familiarity with the move",,No,No,Yes,,Maybe,No
5/31/2022 21:09:11,V6,Roof,"Edge, Crimp",6,No,,Finished the second half,,No,Maybe,Yes,,Yes,Yes
5/31/2022 21:09:32,V6,Roof,"Edge, Crimp",7,Yes,6,,,No,Maybe,Yes,,Yes,Yes
5/31/2022 21:13:12,V6,Roof,"Jug, Pinch, Sloper",2,No,,Beta to the next move,,No,No,Maybe,,No,No
5/31/2022 21:15:40,V6,Roof,"Jug, Pinch, Sloper",3,No,,Beta to the next move,,No,No,No,,No,No
5/31/2022 21:18:37,V6,Roof,"Jug, Crimp, Pinch, Sloper",4,No,,Beta to the next move,,No,No,No,,No,No
5/31/2022 21:20:27,V6,Roof,"Jug, Crimp, Pinch, Sloper",5,No,,Beta to the next move,,No,No,No,,Maybe,No
6/2/2022 17:53:47,V4,Vertical,"Crimp, Pinch",1,No,6,,,No,No,Yes,,Maybe,Maybe
6/2/2022 18:01:12,V5,Vertical,"Edge, Sloper",2,No,,"Beta to the next move, Cannot grab on to the hold",,No,No,Maybe,,No,Maybe
6/2/2022 18:03:38,V5,Vertical,"Edge, Sloper",3,No,,"Beta to the next move, Cannot grab on to the hold",,No,No,No,,No,No
6/2/2022 18:05:39,V5,Vertical,"Edge, Sloper",4,No,,"Beta to the next move, Cannot grab on to the hold",,No,No,No,,No,No
6/2/2022 18:08:06,V5,Vertical,"Edge, Sloper",5,No,,Beta to the next move,,No,No,No,,No,No
6/2/2022 18:11:10,V5,Vertical,"Edge, Sloper",6,No,,Beta to the next move,,No,No,No,,No,No
6/2/2022 18:15:20,V6,Vertical,"Pinch, Sloper",1,No,,"Beta to the next move, Suboptimal sequence, Footwork issue",,No,No,Maybe,,Maybe,No
6/2/2022 18:17:15,V6,Vertical,"Pinch, Sloper",2,No,,"Beta to the next move, Too tired",,No,No,Maybe,,Maybe,Maybe
6/2/2022 18:24:06,V7,Vertical,"Edge, Sloper",1,No,,"Beta to the next move, Wrong body position",,No,Maybe,No,,No,Maybe
6/2/2022 18:26:39,V6,Vertical,"Edge, Crimp, Sloper",2,No,,"Beta to the next move, Suboptimal sequence",,No,No,No,,No,Maybe
6/2/2022 18:30:50,V7,Vertical,"Edge, Crimp, Sloper",3,No,,"Beta to the next move, Suboptimal sequence",,No,No,No,,No,No
6/2/2022 18:33:16,V6,Vertical,"Edge, Crimp, Sloper",4,No,,"Beta to the next move, Lack familiarity with the move",,No,No,No,,No,No
6/2/2022 18:36:55,V7,Vertical,"Edge, Crimp, Sloper",5,No,,Beta to the next move,,No,No,No,,No,No
6/2/2022 18:38:21,V7,Vertical,"Edge, Crimp, Sloper",6,No,,Beta to the next move,,No,No,No,,No,No
6/2/2022 18:44:54,V7,Vertical,"Edge, Sloper, Side-pull",2,No,,"Beta to the next move, Suboptimal sequence",,No,No,No,,No,Maybe
6/2/2022 18:48:24,V7,Vertical,"Edge, Sloper, Side-pull",2,No,,"Beta to the next move, Suboptimal sequence",,No,No,Yes,,No,Maybe
6/2/2022 18:51:01,V7,Vertical,"Edge, Sloper, Side-pull",3,No,,Beta to the next move,,No,No,No,,No,No
6/2/2022 18:55:35,V7,Vertical,"Edge, Sloper, Side-pull",4,No,,"Beta to the next move, Suboptimal sequence",,No,No,No,,No,No
6/2/2022 19:00:48,V7,Vertical,"Edge, Sloper, Side-pull",5,No,,Lack familiarity with the move,,No,No,Yes,,Maybe,Maybe
6/2/2022 19:05:13,V7,Vertical,"Edge, Sloper, Side-pull",6,No,,"Beta to the next move, Lack familiarity with the move",,No,No,Yes,,Maybe,Maybe
6/2/2022 19:09:57,V7,Vertical,"Edge, Sloper, Side-pull",7,No,,Beta to the next move,,No,No,Yes,,No,Maybe
6/2/2022 19:13:11,V7,Vertical,"Edge, Sloper, Side-pull",8,No,,"Beta to the next move, Cannot grab on to the hold",,No,No,Yes,,Maybe,Yes
6/2/2022 19:17:51,V7,Vertical,"Edge, Sloper, Side-pull",8,No,,Beta to the next move,,No,No,No,,Maybe,Maybe
6/2/2022 19:19:34,V7,Vertical,"Edge, Sloper, Side-pull",9,No,,Footwork issue,,No,No,No,,No,No
6/2/2022 19:27:16,V6,Vertical,"Crimp, Sloper, Side-pull",2,No,,"Beta to the next move, Suboptimal sequence",,No,Maybe,No,,Maybe,No
6/2/2022 19:31:09,V6,Vertical,"Crimp, Sloper, Side-pull",4,No,,Beta to the next move,,No,No,Maybe,,Yes,Yes
6/2/2022 19:35:11,V7,Vertical,"Crimp, Sloper, Side-pull",3,No,,"Beta to the next move, Footwork issue",,No,No,Maybe,,Maybe,Maybe
6/2/2022 19:39:06,V6,Vertical,"Crimp, Sloper, Side-pull",5,No,,"Beta to the next move, Too tired",,No,No,Maybe,,Maybe,Maybe
6/2/2022 19:42:47,V6,Vertical,Crimp,1,No,,"Beta to the next move, Lack familiarity with the move",,No,No,Maybe,,Maybe,No
6/2/2022 19:48:23,V5,Vertical,"Jug, Pocket",1,No,,Beta to the next move,,No,No,Yes,,No,No
6/2/2022 19:49:40,V5,Vertical,"Edge, Sloper, Pocket",2,No,,Beta to the next move,,No,No,Yes,,No,No
6/7/2022 19:16:52,V4,Vertical,"Crimp, Sloper",1,Yes,5,,,No,Yes,No,,No,Maybe
6/7/2022 19:23:37,V5,Roof,Jug,1,No,,Beta to the next move,,No,Yes,No,,No,Maybe
6/7/2022 19:26:03,V5,Roof,Jug,2,Yes,6,,,No,Maybe,Yes,,No,No
6/7/2022 19:32:14,V6,Roof,"Jug, Sloper",2,No,,Beta to the next move,,No,No,Maybe,,Maybe,No
6/7/2022 19:34:49,V6,Roof,"Jug, Crimp, Sloper",3,No,,"Beta to the next move, Cannot grab on to the hold",,No,No,No,,No,No
6/7/2022 19:39:45,V5,Roof,"Jug, Sloper",1,Yes,5,,,No,No,Yes,,Maybe,Maybe
6/7/2022 19:46:09,V6,Roof,"Jug, Crimp, Sloper",4,No,,"Beta to the next move, Cannot grab on to the hold",,No,No,No,,No,No
6/7/2022 19:49:28,V6,Roof,"Jug, Crimp, Sloper",5,No,,"Beta to the next move, Cannot grab on to the hold",,No,No,No,,No,No
6/7/2022 19:56:51,V6,Roof,"Crimp, Sloper",5,No,,Cannot grab on to the hold,,No,No,Maybe,,No,No
6/7/2022 20:00:04,V6,Roof,"Crimp, Sloper",6,No,,"Beta to the next move, Cannot grab on to the hold",,No,No,Yes,,No,No
6/7/2022 20:05:23,V6,Roof,"Crimp, Pinch, Sloper",7,No,,"Beta to the next move, Cannot grab on to the hold",,No,Maybe,Yes,,Maybe,No
6/7/2022 20:07:15,V6,Roof,"Crimp, Pinch, Sloper",8,No,,"Beta to the next move, Cannot grab on to the hold",,No,Yes,No,,No,No
6/7/2022 20:13:36,V5,Overhang,"Jug, Pinch",1,No,,"Beta to the next move, Suboptimal sequence",,No,No,No,,No,Maybe
6/7/2022 20:16:58,V5,Overhang,"Jug, Pinch",3,Yes,6,,,Maybe,Yes,Yes,,Maybe,No
6/7/2022 20:25:32,V6,Roof,"Jug, Crimp, Sloper",1,No,,Suboptimal sequence,,No,No,No,,Yes,Yes
6/7/2022 20:29:16,V6,Roof,"Jug, Crimp",2,No,,"Beta to the next move, Suboptimal sequence",,No,No,No,,Maybe,Maybe
6/7/2022 20:31:44,V6,Roof,"Jug, Crimp",4,No,,"Beta to the next move, Suboptimal sequence",,No,No,No,,No,No
6/7/2022 20:36:40,V6,Roof,"Jug, Crimp, Sloper",5,No,,"Beta to the next move, Suboptimal sequence",,No,Maybe,No,,Maybe,Maybe
6/7/2022 20:40:26,V6,Roof,"Jug, Crimp, Sloper",6,No,,"Beta to the next move, Cannot grab on to the hold, Too tired",,No,Maybe,No,,Maybe,No
